Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Scott Kahn Title Cadman Plaza Summer Description SCOTT KAHN,Cadman Plaza Summer,oil on linen,2006,44,50,111.7,127,Christie's Hong Kong,"Thursday, December 1, 2022",00314,"1,000,000 - 2,000,000 HKD (128,571 - 257,142 USD)","2,016,000 HKD (259,199 USD)"
Scott Kahn Title Shelley,Shelley’s House,oil on linen,2015,24,30,61,76.2,Christie's Hong Kong,"Thursday, December 1, 2022",00313,"800,000 - 1,200,000 HKD (102,856 - 154,285 USD)","3,024,000 HKD (388,798 USD)"
Scott Kahn Title Griswold Pond Description SCOTT KAHN,Griswold Pond,oil on linen,2010,62,72,157.5,182.8,Christie's Hong Kong,"Wednesday, November 30, 2022",00026,"1,500,000 - 2,500,000 HKD (192,184 - 320,307 USD)","7,812,000 HKD (1,000,896 USD)"
Scott Kahn Title Brighton Beach Description signed and dated,Brighton Beach,oil on canvas,2006,16,20,40.6,50.8,Phillips Hong Kong,"Wednesday, November 30, 2022",00124,"450,000 - 650,000 HKD (57,655 - 83,279 USD)","567,000 HKD (72,645 USD)"
Scott Kahn Title Elise,Elise's Garden,oil on linen,1988,21.5,28,54.6,71.1,Phillips Hong Kong,"Wednesday, November 30, 2022",00123,"800,000 - 1,200,000 HKD (102,498 - 153,747 USD)","1,008,000 HKD (129,147 USD)"
Scott Kahn Title Rock A Nore Description SCOTT KAHN,Rock A Nore,oil on canvas,1994,24.8,20.7,62.9,52.7,Christie's New York,"Friday, November 18, 2022",00438,"80,000 - 120,000 USD","94,500 USD"
Scott Kahn Title Point House,"Point House, The End",oil on panel,2020,24,24,61,61,Christie's New York,"Friday, November 18, 2022",00435,"100,000 - 150,000 USD","252,000 USD"
Scott Kahn Title Monument Mountain,Monument Mountain - After the Rain,oil on linen,1984,40,35,101.6,88.9,Sotheby's New York,"Thursday, November 17, 2022",00807,"100,000 - 150,000 USD","138,600 USD"
Scott Kahn Title Burning Leaves Description Scott Kahnb,Burning Leaves,oil on linen,1987,66,78,167.6,198.1,Sotheby's New York,"Thursday, November 17, 2022",00806,"200,000 - 300,000 USD","529,200 USD"
Scott Kahn Title Bush at Sunset Description Scott KahnBush at Sunsetsigned and dated,Bush at Sunset,oil on canvas,1984,50,35,127,88.9,Phillips New York,"Wednesday, November 16, 2022",00329,"150,000 - 200,000 USD","214,200 USD"
Scott Kahn Title Work Table Description Scott KahnWork Tablesigned and dated,Work Table,oil on linen,1978,30,36,76.2,91.4,Phillips New York,"Wednesday, November 16, 2022",00330,"50,000 - 70,000 USD","50,400 USD"
Scott Kahn Title The Woods Description,The Woods,oil on linen,2017,20,22,50.8,55.9,Shannon's,"Thursday, October 27, 2022",00068,"80,000 - 120,000 USD","212,500 USD"
Scott Kahn Title Landscape with Tile Floor Description PROPERTY FROM A PRIVATE BRITISH COLLECTIONSCOTT KAHN,Landscape with Tile Floor,oil on linen,1986,20.6,20.6,52.2,52.2,Christie's London,"Friday, October 14, 2022",00212,"80,000 - 120,000 GBP (89,686 - 134,529 USD)","207,900 GBP (233,071 USD)"
Scott Kahn Title Croquet Description SCOTT KAHN,Croquet,oil on linen,1992,36.1,32,91.8,81.4,Christie's London,"Thursday, October 13, 2022",00009,"100,000 - 150,000 GBP (113,430 - 170,145 USD)","793,800 GBP (900,408 USD)"
Scott Kahn Title Alocasia Leaf,Alocasia Leaf 海芋屬葉,oil on canvas in artist's chosen frame,2007,19.7,15.7,50,40,Sotheby's Hong Kong,"Thursday, October 6, 2022",00531,"600,000 - 1,000,000 HKD","630,000 HKD (80,255 USD)"
Scott Kahn Title Reflecting in the Wilderness,Reflecting in the Wilderness 在野外的影射,oil on linen,2005,40,30,101.6,76.2,Sotheby's Hong Kong,"Thursday, October 6, 2022",00506,"800,000 - 1,200,000 HKD (101,912 - 152,868 USD)","882,000 HKD (112,358 USD)"
Scott Kahn Title Un Chien Mechant Description SCOTT KAHN,Un Chien Mechant,oil on canvas,2015,22.1,27.1,56.2,68.9,Christie's New York,"Thursday, September 29, 2022",00373,"60,000 - 80,000 USD",Bought In
Scott Kahn Title April in Old Lyme Description SCOTT KAHN,April in Old Lyme,oil on linen,2008,30,36,76.2,91.4,Christie's New York,"Thursday, September 29, 2022",00372,"80,000 - 120,000 USD","252,000 USD"
Scott Kahn Title Protected Alcove Description SCOTT KAHN,Protected Alcove,oil on linen,1992,14,16,35.6,40.6,Christie's New York,"Thursday, September 29, 2022",00371,"60,000 - 80,000 USD","126,000 USD"
Scott Kahn Title Still Life with Mirror Description Scott KahnStill Life with Mirrorsigned and dated,Still Life with Mirror,oil on linen,1981,20,24,50.8,61,Phillips New York,"Wednesday, September 28, 2022",00018,"80,000 - 120,000 USD","81,900 USD"
Scott Kahn Title Three Shells Description SCOTT KAHN,Three Shells,"oil on linen, in artist's frame",1992,16.5,14.4,41.8,36.7,Christie's London,"Friday, July 1, 2022",00602,"50,000 - 70,000 GBP (60,255 - 84,357 USD)","100,800 GBP (121,475 USD)"
Scott Kahn Title Soundview Description signed and dated,Soundview,oil on linen,2008,30,34,76.3,86.4,Phillips Hong Kong,"Wednesday, June 22, 2022",00004,"900,000 - 1,400,000 HKD (114,654 - 178,350 USD)","4,032,000 HKD (513,650 USD)"
Scott Kahn Title A Dream Description signed and dated,A Dream,oil on linen,1985,18,17.9,45.6,45.5,Phillips Hong Kong,"Tuesday, June 21, 2022",00103,"450,000 - 750,000 HKD (57,326 - 95,543 USD)","630,000 HKD (80,256 USD)"
Scott Kahn Title Heatwave Description SCOTT KAHN,Heatwave,oil on linen,2013,20.1,22,51.1,55.9,Christie's Hong Kong,"Friday, May 27, 2022",00144,"800,000 - 1,200,000 HKD","2,772,000 HKD (353,143 USD)"
Scott Kahn Title Bird of Paradise Description SCOTT KAHN,Bird of Paradise,oil on linen,1997,26,28,66,71,Christie's Hong Kong,"Friday, May 27, 2022",00143,"800,000 - 1,200,000 HKD (101,917 - 152,875 USD)","3,780,000 HKD (481,559 USD)"
Scott Kahn Title BIG HOUSE,"BIG HOUSE, HOMAGE TO AMERICA",oil on linen,2012,62.2,72,158,183,Christie's Hong Kong,"Thursday, May 26, 2022",00005,"1,000,000 - 2,000,000 HKD (127,390 - 254,780 USD)","11,250,000 HKD (1,433,139 USD)"
Scott Kahn Title Variation Description signed and dated,Variation,oil on linen,1986,32,36.3,81.3,92.1,Phillips New York,"Thursday, May 19, 2022",00313,"100,000 - 150,000 USD","252,000 USD"
Scott Kahn Title The Studio Description SCOTT KAHN,The Studio,oil on canvas,1989,30,34,76.2,86.4,Bonhams New York,"Thursday, May 19, 2022",00001,"10,000 - 15,000 USD","353,175 USD"
Scott Kahn Title Pennsylvania New Jersey Border Description SCOTT KAHN,Pennsylvania New Jersey Border,oil on canvas,1993,36,40,91.4,101.6,Christie's New York,"Friday, May 13, 2022",00118,"150,000 - 200,000 USD","403,200 USD"
Scott Kahn Title The Daniels,The Daniels' Garden at L’Angle D’Oie,oil on canvas,2000,16,20,40.6,50.8,Christie's New York,"Friday, May 13, 2022",00117,"75,000 - 95,000 USD","327,600 USD"
Scott Kahn Title Into the Woods Description SCOTT KAHN,Into the Woods,oil on linen,2016,30,40,76.2,101.6,"Christie's Auction (Shanghai) Co., Ltd","Tuesday, March 1, 2022",00004,"800,000 - 1,200,000 CNY (126,724 - 190,086 USD)","5,670,000 CNY (898,160 USD)"
Scott Kahn Title Cadman Plaza Description signed and dated,Cadman Plaza,oil on linen,2002,62,76,157.5,193,Phillips in Association with Poly Auction,"Tuesday, November 30, 2021",00013,"1,000,000 - 1,500,000 HKD (128,256 - 192,384 USD)","7,510,000 HKD (963,203 USD)"
Scott Kahn Title Cedar Lake Description Scott Kahn,Cedar Lake,oil on canvas,1988,38,42,96.5,106.7,Treadway Toomey Galleries,"Thursday, April 27, 2017",00584,600 - 400 USD,500 USD
Scott Kahn Title Payne house Medium oil on canvas Year of Work Circa,Payne house,oil on canvas,,48.2,48.5,122.6,123.2,RoGallery.com,"Wednesday, May 13, 2009",00041,"12,000 - 14,000 USD",Bought In
Scott Kahn Title Gina,Gina's studio,oil on canvas,,32.2,41.8,81.9,106,RoGallery.com,"Monday, February 16, 2009",01334,"10,000 - 12,000 USD",Bought In
Scott Kahn Title Payne house Medium oil on canvas Year of Work Circa,Payne house,oil on canvas,,48.2,48.5,122.6,123.2,RoGallery.com,"Monday, February 16, 2009",01335,"12,000 - 14,000 USD",Bought In
Scott Kahn Title In the Wilderness Medium Oil on Linen Year of Work,In the Wilderness,Oil on Linen,1984,84,54,213.4,137.2,Art Capital,"Friday, July 1, 1994",00031,,
Scott Kahn Title Cliffs at Stoke Fleming I Medium Oil on Linen Year of Work,Cliffs at Stoke Fleming I,Oil on Linen,1987,30,34,76.2,86.4,Art Capital,"Friday, July 1, 1994",00032,,
